File;Heuristic Time (sec);BnB Time (sec);Heuristic clique size;Clique size;Clique vertices
graphs\brock200_1.clq;0.988;26.934;21;21;131, 3, 40, 47, 179, 106, 136, 137, 119, 103, 31, 82, 174, 102, 143, 45, 121, 198, 25, 99, 190
graphs\brock200_2.clq;0.604;0.08;12;12;120, 134, 47, 26, 54, 182, 119, 157, 69, 144, 148, 104
graphs\brock200_3.clq;0.727;0.673;15;15;96, 129, 143, 97, 57, 177, 103, 37, 83, 117, 35, 11, 157, 172, 28
graphs\brock200_4.clq;0.902;1.799;17;17;70, 138, 18, 28, 92, 160, 185, 191, 11, 126, 37, 164, 27, 78, 53, 116, 64
graphs\C125.9.clq;0.898;2.757;34;34;43, 33, 97, 51, 116, 53, 64, 0, 103, 95, 54, 44, 49, 109, 48, 124, 6, 10, 67, 69, 23, 34, 98, 121, 79, 76, 8, 84, 18, 28, 102, 65, 4, 30
graphs\gen200_p0.9_44.clq;1.879;32.07;44;44;92, 28, 122, 39, 169, 179, 192, 128, 64, 74, 140, 12, 104, 131, 126, 19, 83, 37, 165, 101, 145, 81, 194, 66, 1, 107, 33, 189, 93, 71, 46, 149, 148, 45, 99, 137, 96, 150, 116, 155, 119, 118, 185, 80
graphs\gen200_p0.9_55.clq;2.009;0.953;55;55;78, 142, 14, 110, 174, 4, 196, 68, 85, 112, 176, 90, 26, 146, 18, 106, 198, 24, 88, 40, 168, 116, 80, 95, 158, 76, 81, 145, 63, 191, 186, 122, 32, 66, 143, 72, 136, 35, 163, 92, 20, 77, 13, 181, 115, 34, 162, 25, 87, 61, 128, 75, 11, 29, 5
graphs\hamming8-4.clq;0.981;0.839;16;16;62, 21, 220, 35, 173, 121, 193, 82, 176, 155, 8, 79, 134, 100, 247, 234
graphs\johnson16-2-4.clq;0.346;2.476;8;8;25, 83, 102, 72, 48, 114, 2, 28
graphs\johnson8-2-4.clq;0.039;0;4;4;12, 22, 15, 9
graphs\keller4.clq;0.551;0.402;11;11;155, 91, 12, 67, 3, 133, 77, 8, 119, 26, 98
graphs\MANN_a27.clq;23.819;126.954;124;126;128, 0, 137, 9, 1, 131, 260, 3, 4, 10, 14, 266, 17, 23, 353, 146, 291, 164, 176, 48, 190, 311, 230, 365, 102, 313, 170, 305, 83, 211, 139, 44, 284, 155, 263, 56, 184, 32, 179, 51, 204, 374, 125, 366, 245, 197, 297, 158, 357, 279, 236, 35, 161, 119, 188, 203, 306, 77, 227, 356, 296, 79, 320, 330, 209, 302, 41, 290, 362, 113, 221, 342, 149, 327, 248, 251, 116, 371, 173, 200, 287, 278, 29, 233, 239, 323, 167, 194, 317, 182, 59, 122, 341, 96, 224, 94, 215, 143, 152, 350, 110, 89, 338, 134, 269, 377, 242, 107, 218, 47, 101, 67, 38, 325, 254, 61, 257, 91, 85, 275, 272, 335, 65, 70, 347, 73
graphs\MANN_a9.clq;0.231;0.001;16;16;2, 26, 18, 21, 40, 17, 30, 44, 38, 13, 3, 10, 29, 7, 5, 33
graphs\p_hat1000-1.clq;4.339;32.299;10;10;28, 959, 733, 132, 373, 579, 225, 261, 616, 661
graphs\p_hat1500-1.clq;7.453;541.974;12;12;484, 565, 621, 443, 819, 1138, 970, 982, 1322, 670, 579, 911
graphs\p_hat300-3.clq;2.963;81.728;36;36;175, 251, 220, 48, 292, 158, 55, 296, 165, 17, 254, 297, 234, 138, 97, 225, 27, 289, 218, 272, 39, 148, 20, 75, 246, 204, 238, 88, 198, 3, 298, 32, 137, 189, 244, 173
graphs\san1000.clq;6.322;1072.28;10;15;456, 154, 138, 732, 672, 349, 279, 821, 312, 841, 527, 919, 535, 773, 431
graphs\sanr200_0.9.clq;2.011;2101.03;42;42;14, 142, 118, 106, 188, 22, 25, 89, 13, 184, 56, 123, 158, 159, 34, 168, 68, 39, 103, 17, 81, 171, 97, 165, 189, 93, 109, 149, 110, 131, 197, 58, 185, 73, 19, 92, 44, 135, 62, 192, 65, 119
